epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.31384,2.86399,3.7098,4.28357,1.31582,0,0,0,0,0,0.00128,0.09524,0.00032,9e-05,2.7738,3.03722,4.13168,1.22063,0,0.00041675,0.00041675,0.00041675
2,14.2838,3.09831,3.99087,4.29234,1.31765,0,0,0,0,0,0.00128,0.09524,0.00032,9e-05,2.7738,3.03722,4.13168,1.22063,0,0.000965999,0.000965999,0.000965999
3,21.2804,2.92726,3.51087,4.25767,1.29144,0,0,0,0,0,0.00128,0.09524,0.00032,9e-05,2.7738,3.03722,4.13168,1.22063,0,0.00150791,0.00150791,0.00150791
4,28.1177,3.18331,3.78943,4.36461,1.41549,0,0.00021,0.00275,0,0,0,0,0,0,3.68954,7.0077,4.13006,1.41574,0,0.00163399,0.00163399,0.00163399
5,34.6814,3.22768,6.40785,3.51348,1.21224,0,0.00021,0.00275,0,0,0,0,0,0,3.68954,7.0077,4.13006,1.41574,0,0.00162299,0.00162299,0.00162299
6,41.4714,3.2427,6.64544,3.53993,1.1899,0,0.00021,0.00275,0,0,0,0,0,0,3.68954,7.0077,4.13006,1.41574,0,0.00161199,0.00161199,0.00161199
7,48.5158,3.33085,6.71535,3.52419,1.252,0,0.00021,0.00275,0,0,0,0,0,0,3.68954,7.0077,4.13006,1.41574,0,0.00160099,0.00160099,0.00160099
8,55.6893,3.05216,6.12579,3.47129,1.14722,0,0.00021,0.00275,0,0,0,0,0,0,2.78463,3.57419,3.90772,1.29571,0,0.00158998,0.00158998,0.00158998
9,62.6146,2.61151,3.87645,2.96577,1.192,0,0.00021,0.00275,0,0,0,0,0,0,2.78463,3.57419,3.90772,1.29571,0,0.00157898,0.00157898,0.00157898
10,69.2158,2.59419,3.86895,2.91349,1.13233,0,0.00021,0.00275,0,0,0,0,0,0,2.78463,3.57419,3.90772,1.29571,0,0.00156798,0.00156798,0.00156798
11,75.9916,2.59973,3.85415,2.62681,1.15401,0,0.00021,0.00275,0,0,0,0,0,0,2.78463,3.57419,3.90772,1.29571,0,0.00155698,0.00155698,0.00155698
12,82.8379,2.71374,3.52783,2.50532,1.24412,0,0.02909,0.34066,0.02,0.0062,0.02792,0.32692,0.01836,0.0049,2.14079,2.54902,3.39922,1.16833,0,0.00154598,0.00154598,0.00154598
13,89.1761,2.60827,2.83471,1.91412,1.24349,0,0.02909,0.34066,0.02,0.0062,0.02792,0.32692,0.01836,0.0049,2.14079,2.54902,3.39922,1.16833,0,0.00153497,0.00153497,0.00153497
14,95.5085,2.59242,2.81644,1.89538,1.26154,0,0.02909,0.34066,0.02,0.0062,0.02792,0.32692,0.01836,0.0049,2.14079,2.54902,3.39922,1.16833,0,0.00152397,0.00152397,0.00152397
15,101.759,2.50082,2.67219,1.98723,1.17464,0,0.02909,0.34066,0.02,0.0062,0.02792,0.32692,0.01836,0.0049,2.14079,2.54902,3.39922,1.16833,0,0.00151297,0.00151297,0.00151297
16,108.218,2.568,3.19449,1.71368,1.1448,0,0.03978,0.43956,0.26481,0.08445,0.02312,0.25549,0.099,0.01727,2.14108,3.85198,3.03426,1.13086,0,0.00150197,0.00150197,0.00150197
17,114.341,2.79269,3.74699,1.88336,1.21037,0,0.03978,0.43956,0.26481,0.08445,0.02312,0.25549,0.099,0.01727,2.14108,3.85198,3.03426,1.13086,0,0.00149096,0.00149096,0.00149096
18,120.402,2.41478,3.64902,1.76259,1.11677,0,0.03978,0.43956,0.26481,0.08445,0.02312,0.25549,0.099,0.01727,2.14108,3.85198,3.03426,1.13086,0,0.00147996,0.00147996,0.00147996
19,126.811,2.66597,3.64428,1.81009,1.14907,0,0.04549,0.65568,0.46057,0.14354,0.04314,0.69231,0.33902,0.08641,2.13988,2.50016,2.47921,1.08338,0,0.00146896,0.00146896,0.00146896
20,133.158,2.32242,2.37239,1.64625,1.10954,0,0.04549,0.65568,0.46057,0.14354,0.04314,0.69231,0.33902,0.08641,2.13988,2.50016,2.47921,1.08338,0,0.00145796,0.00145796,0.00145796
21,139.327,2.32841,2.47667,1.64797,1.08784,0,0.04549,0.65568,0.46057,0.14354,0.04314,0.69231,0.33902,0.08641,2.13988,2.50016,2.47921,1.08338,0,0.00144696,0.00144696,0.00144696
22,145.494,2.44932,2.59708,1.63864,1.06396,0,0.04549,0.65568,0.46057,0.14354,0.04314,0.69231,0.33902,0.08641,2.13988,2.50016,2.47921,1.08338,0,0.00143595,0.00143595,0.00143595
23,151.721,2.54868,2.55412,1.81013,1.0962,0,0.45233,0.44314,0.4745,0.17429,0.37814,0.38361,0.35998,0.10309,2.0765,2.39952,1.93825,1.01756,0,0.00142495,0.00142495,0.00142495
24,157.853,2.22722,2.24417,1.91503,1.10577,0,0.45233,0.44314,0.4745,0.17429,0.37814,0.38361,0.35998,0.10309,2.0765,2.39952,1.93825,1.01756,0,0.00141395,0.00141395,0.00141395
25,164.57,2.31782,2.43297,1.82235,1.10455,0,0.45233,0.44314,0.4745,0.17429,0.37814,0.38361,0.35998,0.10309,2.0765,2.39952,1.93825,1.01756,0,0.00140295,0.00140295,0.00140295
26,170.943,2.40936,2.89969,1.84669,1.06776,0,0.45233,0.44314,0.4745,0.17429,0.37814,0.38361,0.35998,0.10309,2.0765,2.39952,1.93825,1.01756,0,0.00139195,0.00139195,0.00139195
27,177.235,2.29368,2.30886,1.65692,1.05814,0,0.11458,0.42033,0.11515,0.0426,0.09788,0.37088,0.09347,0.03066,2.12745,2.31926,6.16144,1.00875,0,0.00138094,0.00138094,0.00138094
28,183.393,2.39669,2.2793,1.59347,1.0248,0,0.11458,0.42033,0.11515,0.0426,0.09788,0.37088,0.09347,0.03066,2.12745,2.31926,6.16144,1.00875,0,0.00136994,0.00136994,0.00136994
29,189.887,2.39055,2.51053,1.5616,1.05485,0,0.11458,0.42033,0.11515,0.0426,0.09788,0.37088,0.09347,0.03066,2.12745,2.31926,6.16144,1.00875,0,0.00135894,0.00135894,0.00135894
30,196.181,2.32969,2.51562,1.56386,1.04285,0,0.11458,0.42033,0.11515,0.0426,0.09788,0.37088,0.09347,0.03066,2.12745,2.31926,6.16144,1.00875,0,0.00134794,0.00134794,0.00134794
31,202.338,2.11203,2.2023,1.48499,1.03706,0,0.07066,0.40696,0.07476,0.03068,0.06525,0.3956,0.06653,0.02522,2.01946,2.40052,17.7389,0.97668,0,0.00133693,0.00133693,0.00133693
32,208.463,2.10425,2.42992,1.53625,1.01258,0,0.07066,0.40696,0.07476,0.03068,0.06525,0.3956,0.06653,0.02522,2.01946,2.40052,17.7389,0.97668,0,0.00132593,0.00132593,0.00132593
33,214.493,2.17251,2.31841,1.52244,1.02267,0,0.07066,0.40696,0.07476,0.03068,0.06525,0.3956,0.06653,0.02522,2.01946,2.40052,17.7389,0.97668,0,0.00131493,0.00131493,0.00131493
34,220.738,2.22509,2.54046,1.53407,1.01428,0,0.91942,0.41468,0.47131,0.17655,0.84346,0.3489,0.34324,0.09417,1.96424,2.48809,1.82803,0.95944,0,0.00130393,0.00130393,0.00130393
35,226.694,2.20261,2.38759,1.37549,1.0214,0,0.91942,0.41468,0.47131,0.17655,0.84346,0.3489,0.34324,0.09417,1.96424,2.48809,1.82803,0.95944,0,0.00129293,0.00129293,0.00129293
36,232.661,2.1967,2.46971,1.35493,1.00743,0,0.91942,0.41468,0.47131,0.17655,0.84346,0.3489,0.34324,0.09417,1.96424,2.48809,1.82803,0.95944,0,0.00128192,0.00128192,0.00128192
37,238.742,2.16871,2.32233,1.3792,1.0309,0,0.91942,0.41468,0.47131,0.17655,0.84346,0.3489,0.34324,0.09417,1.96424,2.48809,1.82803,0.95944,0,0.00127092,0.00127092,0.00127092
38,245.036,2.17999,2.24724,1.35511,1.0135,0,0.40521,0.45879,0.5004,0.20428,0.37588,0.42582,0.43072,0.1333,1.89306,2.22366,1.47465,0.94784,0,0.00125992,0.00125992,0.00125992
39,251.222,1.95331,2.12681,1.26392,0.99885,0,0.40521,0.45879,0.5004,0.20428,0.37588,0.42582,0.43072,0.1333,1.89306,2.22366,1.47465,0.94784,0,0.00124892,0.00124892,0.00124892
40,257.515,2.19016,2.2147,1.30834,0.99057,0,0.40521,0.45879,0.5004,0.20428,0.37588,0.42582,0.43072,0.1333,1.89306,2.22366,1.47465,0.94784,0,0.00123791,0.00123791,0.00123791
41,263.708,2.06656,2.26391,1.28697,0.99145,0,0.40521,0.45879,0.5004,0.20428,0.37588,0.42582,0.43072,0.1333,1.89306,2.22366,1.47465,0.94784,0,0.00122691,0.00122691,0.00122691
42,269.794,2.14159,2.2049,1.30239,0.97216,0,0.48068,0.46703,0.54287,0.2281,0.45552,0.43681,0.471,0.15037,1.88052,2.08441,1.43404,0.95063,0,0.00121591,0.00121591,0.00121591
43,275.836,2.02037,2.12229,1.20954,0.99495,0,0.48068,0.46703,0.54287,0.2281,0.45552,0.43681,0.471,0.15037,1.88052,2.08441,1.43404,0.95063,0,0.00120491,0.00120491,0.00120491
44,282.031,2.05689,2.16662,1.20882,1.00199,0,0.48068,0.46703,0.54287,0.2281,0.45552,0.43681,0.471,0.15037,1.88052,2.08441,1.43404,0.95063,0,0.00119391,0.00119391,0.00119391
45,288.264,1.98665,2.29279,1.24899,0.98537,0,0.48068,0.46703,0.54287,0.2281,0.45552,0.43681,0.471,0.15037,1.88052,2.08441,1.43404,0.95063,0,0.0011829,0.0011829,0.0011829
46,294.317,2.11171,2.15084,1.26068,0.98414,0,0.84857,0.47161,0.56644,0.23968,0.35836,0.41484,0.42499,0.12665,1.90075,2.04239,1.49177,0.94665,0,0.0011719,0.0011719,0.0011719
47,300.473,2.03945,2.23845,1.22236,0.94389,0,0.84857,0.47161,0.56644,0.23968,0.35836,0.41484,0.42499,0.12665,1.90075,2.04239,1.49177,0.94665,0,0.0011609,0.0011609,0.0011609
48,306.691,1.95729,2.05363,1.1772,0.97736,0,0.84857,0.47161,0.56644,0.23968,0.35836,0.41484,0.42499,0.12665,1.90075,2.04239,1.49177,0.94665,0,0.0011499,0.0011499,0.0011499
49,312.748,1.9651,2.02797,1.1817,0.95494,0,0.87122,0.62847,0.75872,0.33025,0.40326,0.42399,0.43636,0.13576,1.84429,2.06491,1.32861,0.93618,0,0.00113889,0.00113889,0.00113889
50,318.897,1.97369,2.16132,1.1744,0.98441,0,0.87122,0.62847,0.75872,0.33025,0.40326,0.42399,0.43636,0.13576,1.84429,2.06491,1.32861,0.93618,0,0.00112789,0.00112789,0.00112789
51,324.97,2.06657,2.24007,1.27195,0.95299,0,0.87122,0.62847,0.75872,0.33025,0.40326,0.42399,0.43636,0.13576,1.84429,2.06491,1.32861,0.93618,0,0.00111689,0.00111689,0.00111689
52,331.168,2.04843,2.28206,1.24221,0.94451,0,0.87122,0.62847,0.75872,0.33025,0.40326,0.42399,0.43636,0.13576,1.84429,2.06491,1.32861,0.93618,0,0.00110589,0.00110589,0.00110589
53,337.202,1.92867,2.08524,1.15415,0.94478,0,0.93935,0.78672,0.86076,0.3866,0.59267,0.56053,0.51481,0.17354,1.82417,2.0027,1.15674,0.93706,0,0.00109489,0.00109489,0.00109489
54,343.466,2.0138,1.96408,1.16625,0.97831,0,0.93935,0.78672,0.86076,0.3866,0.59267,0.56053,0.51481,0.17354,1.82417,2.0027,1.15674,0.93706,0,0.00108388,0.00108388,0.00108388
55,349.552,2.08633,2.0885,1.19721,0.95357,0,0.93935,0.78672,0.86076,0.3866,0.59267,0.56053,0.51481,0.17354,1.82417,2.0027,1.15674,0.93706,0,0.00107288,0.00107288,0.00107288
56,355.602,1.89859,1.99282,1.08633,0.96847,0,0.93935,0.78672,0.86076,0.3866,0.59267,0.56053,0.51481,0.17354,1.82417,2.0027,1.15674,0.93706,0,0.00106188,0.00106188,0.00106188
57,361.73,1.96491,2.05398,1.15982,0.97316,0,0.97604,0.81329,0.935,0.40861,0.70668,0.63168,0.63599,0.20783,1.77826,1.95154,1.0742,0.92183,0,0.00105088,0.00105088,0.00105088
